1  0 0
1.5  0 0
2  0 0
2.5  0 0
3  0 0
3.5  0 0
4  0 0
4.5  0 0
5  0 0
5.5  0 0
6  0 0
6.5  0 0
7  0 0
7.5  0 0
8  0 0
8.5  0 0
9  0 0
9.5  0 0
10  0 0
10.5  0 0
11  0 0
11.5  0 0
12  0 0
12.5  0 0
13  0 0
13.5  0 0
14  0 0
14.5  0 0
15  0 0
15.5  0 0
16  0 0
16.5  0 0
17  0 0
17.5  0 0
18  0 0
18.5  0 0
19  0 0
19.5  0 0
20  0 0
20.5  0 0
21  0 0
21.5  0 0
22  0 0
22.5  0 0
23  0 0
23.5  0 0
24  0 0
24.5  0 0
25  0 0
25.5  0 0
26  0 0
26.5  0 0
27  0 0
27.5  0 0
28  0 0
28.5  0 0
29  0 0
29.5  0 0
30  0 0
30.5  0 0
31  0 0
31.5  0 0
32  0 0
32.5  0 0
33  0 0
33.5  0 0
34  0 0
34.5  0 0
35  0 0
35.5  0 0
36  0 0
36.5  0 0
37  0 0
37.5  0 0
38  0 0
38.5  0 0
39  0 0
39.5  0 0
40  0 0
40.5  0 0
41  0 0
41.5  0 0
42  0 0
42.5  0 0
43  0 0
43.5  0 0
44  0 0
44.5  0 0
45  0 0
45.5  0 0
46  0 0
46.5  0 0
47  0 0
47.5  0 0
48  0 0
48.5  0 0
49  0 0
49.5  0 0
50  0 0
50.5  0 0
51  0 0
51.5  0 0
52  0 0
52.5  0 0
53  0 4.95414e-07
53.5  0 0
54  0 4.95414e-07
54.5  0 1.15597e-06
55  0 1.65138e-06
55.5  0 4.29359e-06
56  0 1.02386e-05
56.5  0 1.33762e-05
57  0 2.36148e-05
57.5  0 4.01286e-05
58  0 6.35782e-05
58.5  0 0.000102716
59  0 0.000150606
59.5  0 0.000206753
60  0 0.000272808
60.5  0 0.000342662
61  0 0.000443231
61.5  0 0.000522827
62  0 0.000588552
62.5  0 0.000703158
63  0 0.000785232
63.5  0 0.000909086
64  0 0.000999416
64.5  0 0.00110081
65  0 0.00126727
65.5  0 0.00145569
66  0 0.00165237
66.5  0 0.00192502
67  0 0.00221665
67.5  0 0.00252562
68  0 0.00299065
68.5  0 0.00336898
69  0 0.00377902
69.5  0 0.00425776
70  0 0.00472807
70.5  0 0.00524396
71  4.0042e-07 0.00576167
71.5  0 0.00633998
72  0 0.00706544
72.5  4.0042e-07 0.0077108
73  2.0021e-06 0.00829489
73.5  1.20126e-06 0.00899095
74  1.60168e-06 0.00984719
74.5  1.60168e-06 0.0105099
75  8.0084e-06 0.0111789
75.5  9.61008e-06 0.0116806
76  1.92202e-05 0.0123484
76.5  3.40357e-05 0.0127596
77  4.52475e-05 0.0129875
77.5  7.80819e-05 0.0131453
78  0.000122929 0.0132393
78.5  0.000179789 0.0130763
79  0.000240252 0.0130704
79.5  0.000341558 0.0127485
80  0.000427649 0.0124255
80.5  0.000522548 0.0120239
81  0.000736372 0.0115516
81.5  0.000805245 0.0113306
82  0.00090615 0.0109099
82.5  0.0010479 0.0104924
83  0.00128775 0.0101041
83.5  0.00144952 0.00971673
84  0.00156244 0.00941221
84.5  0.00172341 0.00933724
85  0.00179909 0.0090504
85.5  0.00202933 0.00873713
86  0.00205175 0.00861972
86.5  0.00225196 0.00844616
87  0.00230402 0.00840867
87.5  0.00243255 0.00824155
88  0.0025791 0.0081248
88.5  0.00269763 0.00817649
89  0.0028558 0.00806749
89.5  0.00308043 0.0081641
90  0.00338955 0.00819762
90.5  0.0036198 0.00838109
91  0.00385164 0.00834377
91.5  0.00426367 0.00844483
92  0.00472576 0.00861146
92.5  0.00497962 0.00869832
93  0.00540207 0.00871797
93.5  0.00580969 0.00871252
94  0.00647759 0.00883324
94.5  0.00688042 0.0087581
95  0.00754391 0.00887766
95.5  0.00824945 0.00884364
96  0.00909033 0.00871533
96.5  0.00976985 0.00867206
97  0.0108374 0.00867884
97.5  0.0115449 0.00852608
98  0.0127237 0.00837052
98.5  0.0133672 0.00814412
99  0.0140668 0.00795982
99.5  0.014687 0.00776777
100  0.0151319 0.00749727
100.5  0.0154282 0.00728854
101  0.0150502 0.0071229
101.5  0.0147266 0.00676323
102  0.0144131 0.00660338
102.5  0.0140684 0.00627624
103  0.0138802 0.00607758
103.5  0.0133292 0.00585596
104  0.0126761 0.00569528
104.5  0.0121788 0.00534321
105  0.011667 0.0051855
105.5  0.0112826 0.00490444
106  0.0109911 0.00469735
106.5  0.0106864 0.00440423
107  0.0102255 0.00418394
107.5  0.00992761 0.00406966
108  0.009729 0.00387893
108.5  0.00918724 0.00360744
109  0.00898823 0.0034864
109.5  0.00852094 0.00333596
110  0.00815856 0.00322168
110.5  0.00763841 0.00306777
111  0.00721036 0.00283509
111.5  0.00713468 0.00275434
112  0.00684518 0.00269753
112.5  0.00649842 0.00259614
113  0.00634826 0.00248516
113.5  0.00622733 0.00240276
114  0.00626097 0.00240904
114.5  0.00598828 0.0023159
115  0.00612963 0.00227461
115.5  0.00603073 0.00225579
116  0.00629901 0.00228436
116.5  0.00644276 0.00226322
117  0.00669582 0.00224472
117.5  0.00690284 0.00223993
118  0.00727283 0.00227808
118.5  0.00755633 0.00227527
119  0.00775093 0.00231193
119.5  0.00807447 0.00230549
120  0.00857379 0.00237915
